pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""WANG Mingjuan""";"=""11.10.1985""";"=""CHN""";"=""48""";"=""47.84""";"=""85""";"=""*90""";"=""90""";"=""90""";"=""110""";"=""*115""";"=""---""";"=""110""";"=""200""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""1""";"=""w""";"=""2""";"=""4""";"=""2""";"=""WIRATTHAWORN Aree""";"=""26.02.1980""";"=""THA""";"=""48""";"=""47.93""";"=""75""";"=""80""";"=""82.5""";"=""82.5""";"=""*102.5""";"=""102.5""";"=""107.5""";"=""107.5""";"=""190""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""5""";"=""TAYLAN Nurcan""";"=""29.10.1983""";"=""TUR""";"=""48""";"=""47.74""";"=""85""";"=""*90""";"=""*90""";"=""85""";"=""*102.5""";"=""102.5""";"=""*107.5""";"=""102.5""";"=""187.5""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""3""";"=""w""";"=""4""";"=""2""";"=""6""";"=""DRAGNEVA-Rifatova Izabela""";"=""01.10.1971""";"=""BUL""";"=""48""";"=""47.62""";"=""*80""";"=""80""";"=""85""";"=""85""";"=""100""";"=""*105""";"=""*105""";"=""100""";"=""185""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""4""";"=""w""";"=""5""";"=""6""";"=""4""";"=""KUNJARANI Nameirakpam Devi""";"=""01.03.1968""";"=""IND""";"=""48""";"=""47.40""";"=""75""";"=""77.5""";"=""80""";"=""80""";"=""97.5""";"=""102.5""";"=""*105""";"=""102.5""";"=""182.5""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""5""";"=""w""";"=""6""";"=""7""";"=""3""";"=""ROSMAINAR Rosmainar""";"=""23.06.1976""";"=""INA""";"=""48""";"=""47.58""";"=""77.5""";"=""*80""";"=""*80""";"=""77.5""";"=""97.5""";"=""*102.5""";"=""105""";"=""105""";"=""182.5""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""6""";"=""w""";"=""7""";"=""8""";"=""7""";"=""CUNNINGHAM Tara""";"=""10.05.1972""";"=""USA""";"=""48""";"=""47.61""";"=""75""";"=""77.5""";"=""*80""";"=""77.5""";"=""92.5""";"=""95""";"=""97.5""";"=""97.5""";"=""175""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""7""";"=""w""";"=""8""";"=""9""";"=""9""";"=""SUDA Chaleephay""";"=""06.06.1987""";"=""THA""";"=""48""";"=""47.81""";"=""75""";"=""77.5""";"=""*80""";"=""77.5""";"=""97.5""";"=""*100""";"=""*100""";"=""97.5""";"=""175""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""8""";"=""w""";"=""9""";"=""5""";"=""12""";"=""CHOE Un Sim""";"=""06.05.1982""";"=""PRK""";"=""48""";"=""47.25""";"=""80""";"=""*82.5""";"=""*82.5""";"=""80""";"=""*92.5""";"=""92.5""";"=""*95""";"=""92.5""";"=""172.5""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
"=""9""";"=""w""";"=""10""";"=""12""";"=""10""";"=""CHEN Han-Tung""";"=""05.12.1980""";"=""TPE""";"=""48""";"=""47.23""";"=""*72.5""";"=""72.5""";"=""*77.5""";"=""72.5""";"=""95""";"=""*97.5""";"=""*97.5""";"=""95""";"=""167.5""";"=""73rd MEN's and 16th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.2003""";
