pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TOUA Thelma Mea""";"=""30.03.1991""";"=""PNG""";"=""48""";"=""47.83""";"=""68""";"=""* 72""";"=""72""";"=""72""";"=""84""";"=""* 92""";"=""* 92""";"=""84""";"=""156""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""POWELL Hannah Louise""";"=""12.12.1992""";"=""WAL""";"=""48""";"=""46.50""";"=""* 65""";"=""65""";"=""67""";"=""67""";"=""82""";"=""* 86""";"=""* 86""";"=""82""";"=""149""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""4""";"=""BOMIRIYAGE GOMAS Dinusha Hansani""";"=""30.12.1992""";"=""SRI""";"=""48""";"=""47.68""";"=""63""";"=""* 66""";"=""66""";"=""66""";"=""78""";"=""* 82""";"=""82""";"=""82""";"=""148""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""5""";"=""CHAVAN Mohini Daryappa""";"=""20.05.1999""";"=""IND""";"=""48""";"=""47.70""";"=""63""";"=""66""";"=""* 69""";"=""66""";"=""82""";"=""* 86""";"=""* 86""";"=""82""";"=""148""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""4""";"=""W""";"=""5""";"=""5""";"=""3""";"=""DALABEHERA Jhilli""";"=""03.02.1999""";"=""IND""";"=""48""";"=""47.57""";"=""* 61""";"=""61""";"=""* 63""";"=""61""";"=""79""";"=""82""";"=""* 85""";"=""82""";"=""143""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""5""";"=""W""";"=""1""";"=""4""";"=""1""";"=""MAL Joti""";"=""22.07.1996""";"=""IND""";"=""53""";"=""52.94""";"=""73""";"=""* 76""";"=""* 76""";"=""73""";"=""95""";"=""99""";"=""102""";"=""102""";"=""175""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""6""";"=""W""";"=""2""";"=""1""";"=""2""";"=""RANAIVOSOA Marie Hanitra Roilya""";"=""14.11.1990""";"=""MRI""";"=""53""";"=""52.83""";"=""73""";"=""76""";"=""78""";"=""78""";"=""92""";"=""* 95""";"=""96""";"=""96""";"=""174""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""7""";"=""W""";"=""3""";"=""3""";"=""3""";"=""PATTERSON Phillipa Jean""";"=""08.12.1984""";"=""NZL""";"=""53""";"=""52.47""";"=""* 73""";"=""* 73""";"=""73""";"=""73""";"=""90""";"=""* 93""";"=""* 94""";"=""90""";"=""163""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""8""";"=""W""";"=""4""";"=""2""";"=""5""";"=""WARNAKULASURIYA Wadumesthreege C.M.""";"=""12.10.1990""";"=""SRI""";"=""53""";"=""52.50""";"=""70""";"=""74""";"=""* 76""";"=""74""";"=""* 87""";"=""87""";"=""* 94""";"=""87""";"=""161""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
"=""9""";"=""W""";"=""5""";"=""6""";"=""4""";"=""LIFU Mary Kini""";"=""15.10.1994""";"=""SOL""";"=""53""";"=""52.87""";"=""65""";"=""* 70""";"=""* 70""";"=""65""";"=""85""";"=""* 89""";"=""89""";"=""89""";"=""154""";"=""2016 SENIOR COMMONWEALTH CHAMPIONSHIPS""";"=""10.2016""";
