pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""AKUA Liebon""";"=""25.03.1998""";"=""NRU""";"=""53""";"=""52.99""";"=""50""";"=""53""";"=""*55""";"=""53""";"=""55""";"=""*63""";"=""*65""";"=""55""";"=""108""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""1""";"=""m""";"=""1""";"=""1""";"=""1""";"=""CAIN Shadrach""";"=""27.07.1999""";"=""NRU""";"=""56""";"=""55.47""";"=""75""";"=""*80""";"=""80""";"=""80""";"=""105""";"=""*110""";"=""*110""";"=""105""";"=""185""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""2""";"=""w""";"=""1""";"=""1""";"=""1""";"=""CLOHESY Kalah""";"=""27.12.2000""";"=""AUS""";"=""58""";"=""56.01""";"=""53""";"=""*56""";"=""*57""";"=""53""";"=""78""";"=""*82""";"=""*82""";"=""78""";"=""131""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""3""";"=""w""";"=""2""";"=""2""";"=""2""";"=""MASSI Olivia Rose""";"=""22.12.2001""";"=""AUS""";"=""58""";"=""57.48""";"=""48""";"=""50""";"=""51""";"=""51""";"=""60""";"=""65""";"=""*68""";"=""65""";"=""116""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""4""";"=""w""";"=""---""";"=""---""";"=""---""";"=""ISAIA Sekolasitika""";"=""11.07.2000""";"=""SAM""";"=""58""";"=""55.27""";"=""*60""";"=""*60""";"=""*60""";"=""---""";"=""---""";"=""---""";"=""---""";"=""---""";"=""0""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""5""";"=""m""";"=""1""";"=""1""";"=""1""";"=""QAQA Poama""";"=""12.03.1997""";"=""FIJ""";"=""62""";"=""61.68""";"=""105""";"=""109""";"=""*112""";"=""109""";"=""130""";"=""135""";"=""*137""";"=""135""";"=""244""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""6""";"=""m""";"=""2""";"=""2""";"=""2""";"=""MOSES Ezekiel""";"=""02.07.2001""";"=""NRU""";"=""62""";"=""61.34""";"=""*85""";"=""90""";"=""95""";"=""95""";"=""120""";"=""*125""";"=""*125""";"=""120""";"=""215""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""7""";"=""m""";"=""3""";"=""3""";"=""3""";"=""BETERO Takirua""";"=""10.01.1999""";"=""KIR""";"=""62""";"=""61.55""";"=""87""";"=""92""";"=""*96""";"=""92""";"=""*115""";"=""115""";"=""*120""";"=""115""";"=""207""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""8""";"=""m""";"=""4""";"=""4""";"=""4""";"=""SCOTTY Brocka""";"=""25.07.1999""";"=""NRU""";"=""62""";"=""61.41""";"=""80""";"=""*88""";"=""*88""";"=""80""";"=""*110""";"=""110""";"=""*113""";"=""110""";"=""190""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""9""";"=""w""";"=""1""";"=""2""";"=""1""";"=""UEPA Maximina""";"=""22.09.2002""";"=""NRU""";"=""63""";"=""62.40""";"=""65""";"=""69""";"=""*71""";"=""69""";"=""85""";"=""90""";"=""95""";"=""95""";"=""164""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""10""";"=""w""";"=""2""";"=""3""";"=""2""";"=""MOE ATONIO Saofaialo""";"=""08.06.2000""";"=""SAM""";"=""63""";"=""61.73""";"=""63""";"=""68""";"=""*71""";"=""68""";"=""87""";"=""92""";"=""*97""";"=""92""";"=""160""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""11""";"=""w""";"=""3""";"=""1""";"=""3""";"=""LAWLER Kenyah Jade""";"=""31.01.1998""";"=""AUS""";"=""63""";"=""60.99""";"=""65""";"=""68""";"=""71""";"=""71""";"=""80""";"=""84""";"=""88""";"=""88""";"=""159""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""12""";"=""w""";"=""4""";"=""4""";"=""4""";"=""BLACK Maddison Sarah""";"=""30.10.1997""";"=""AUS""";"=""63""";"=""62.55""";"=""60""";"=""63""";"=""*65""";"=""63""";"=""*77""";"=""77""";"=""80""";"=""80""";"=""143""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""13""";"=""w""";"=""1""";"=""2""";"=""1""";"=""HARRISON LORENZI Isabel """;"=""20.01.1999""";"=""AUS""";"=""69""";"=""68.48""";"=""72""";"=""*75""";"=""75""";"=""75""";"=""90""";"=""*93""";"=""*95""";"=""90""";"=""165""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
"=""14""";"=""m""";"=""1""";"=""1""";"=""1""";"=""KATOATAU Ruben""";"=""09.02.1997""";"=""KIR""";"=""69""";"=""68.64""";"=""112""";"=""*117""";"=""117""";"=""117""";"=""145""";"=""152""";"=""*157""";"=""152""";"=""269""";"=""OCEANIA JUNIOR CHAMPIONSHIPS""";"=""09.2017""";
