pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""RI Su Yon""";"=""11.01.1996""";"=""PRK""";"=""44""";"=""43.90""";"=""58""";"=""62""";"=""*65""";"=""62""";"=""79""";"=""*83""";"=""*83""";"=""79""";"=""141""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""2""";"=""TARAFDAR Chandrika""";"=""12.10.1996""";"=""IND""";"=""44""";"=""44.00""";"=""50""";"=""53""";"=""56""";"=""56""";"=""70""";"=""74""";"=""*78""";"=""74""";"=""130""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""3""";"=""LEE Wen-Kuan""";"=""23.02.1996""";"=""TPE""";"=""44""";"=""43.75""";"=""47""";"=""50""";"=""*52""";"=""50""";"=""58""";"=""61""";"=""*64""";"=""61""";"=""111""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""4""";"=""ZIN May Oo""";"=""15.02.1999""";"=""Mya""";"=""44""";"=""43.90""";"=""47""";"=""50""";"=""*53""";"=""50""";"=""57""";"=""61""";"=""*64""";"=""61""";"=""111""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""4""";"=""w""";"=""5""";"=""5""";"=""5""";"=""ALYMBEKOVA Nazik""";"=""02.07.1997""";"=""KGZ""";"=""44""";"=""44.00""";"=""35""";"=""*40""";"=""40""";"=""40""";"=""45""";"=""50""";"=""*52""";"=""50""";"=""90""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""5""";"=""w""";"=""1""";"=""1""";"=""1""";"=""FENG Linmei""";"=""19.03.1995""";"=""CHN""";"=""48""";"=""47.35""";"=""72""";"=""75""";"=""78""";"=""78""";"=""*92""";"=""*92""";"=""92""";"=""92""";"=""170""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""6""";"=""w""";"=""2""";"=""3""";"=""2""";"=""KHINE Khine""";"=""18.09.1997""";"=""MYA""";"=""48""";"=""45.90""";"=""65""";"=""68""";"=""70""";"=""70""";"=""85""";"=""88""";"=""91""";"=""91""";"=""161""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""7""";"=""w""";"=""3""";"=""2""";"=""5""";"=""LEE Seulki""";"=""20.08.1995""";"=""KOR""";"=""48""";"=""47.70""";"=""65""";"=""69""";"=""71""";"=""71""";"=""83""";"=""87""";"=""*90""";"=""87""";"=""158""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""8""";"=""w""";"=""4""";"=""4""";"=""4""";"=""WANROEK On-Uma""";"=""02.01.1995""";"=""THA""";"=""48""";"=""47.00""";"=""63""";"=""66""";"=""68""";"=""68""";"=""83""";"=""*86""";"=""87""";"=""87""";"=""155""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""9""";"=""w""";"=""5""";"=""5""";"=""3""";"=""KIM Yun Me""";"=""02.09.1995""";"=""PRK""";"=""48""";"=""47.80""";"=""*65""";"=""65""";"=""*70""";"=""65""";"=""85""";"=""89""";"=""*92""";"=""89""";"=""154""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""10""";"=""w""";"=""6""";"=""6""";"=""6""";"=""MAL Joti""";"=""22.07.1996""";"=""IND""";"=""48""";"=""48.00""";"=""59""";"=""62""";"=""*65""";"=""62""";"=""75""";"=""79""";"=""81""";"=""81""";"=""143""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""11""";"=""w""";"=""7""";"=""7""";"=""7""";"=""SONOWAL Manalisha""";"=""01.01.1995""";"=""IND""";"=""48""";"=""47.90""";"=""54""";"=""58""";"=""61""";"=""61""";"=""72""";"=""*76""";"=""76""";"=""76""";"=""137""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
"=""12""";"=""w""";"=""8""";"=""8""";"=""8""";"=""KERIMOVA Melike""";"=""05.04.1995""";"=""TKM""";"=""48""";"=""47.95""";"=""50""";"=""54""";"=""56""";"=""56""";"=""55""";"=""60""";"=""*65""";"=""60""";"=""116""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""11.2012""";
