pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""3""";"=""PERIS Revert Gema""";"=""20.04.1983""";"=""ESP""";"=""48""";"=""47.14""";"=""72.5""";"=""75""";"=""77.5""";"=""77.5""";"=""85""";"=""90""";"=""*92.5""";"=""90""";"=""167.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""1""";"=""GRACIA Betsabe""";"=""11.12.1981""";"=""MEX""";"=""48""";"=""46.76""";"=""70""";"=""*72.5""";"=""72.5""";"=""72.5""";"=""87.5""";"=""*92.5""";"=""92.5""";"=""92.5""";"=""165""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""2""";"=""KARDANOVA Ragnetta""";"=""01.01.1983""";"=""RUS""";"=""48""";"=""47.00""";"=""67.5""";"=""70""";"=""72.5""";"=""72.5""";"=""85""";"=""90""";"=""*95""";"=""90""";"=""162.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""5""";"=""TOCINO Maria Jose""";"=""22.06.1982""";"=""ESP""";"=""48""";"=""46.82""";"=""67.5""";"=""70""";"=""*72.5""";"=""70""";"=""80""";"=""*82.5""";"=""*85""";"=""80""";"=""150""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""4""";"=""w""";"=""5""";"=""9""";"=""4""";"=""HENRRIQUEZ GONZALEZ Inmara Tibisay""";"=""23.09.1981""";"=""VEN""";"=""48""";"=""47.93""";"=""*57.5""";"=""57.5""";"=""*60""";"=""57.5""";"=""80""";"=""85""";"=""*87.5""";"=""85""";"=""142.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""5""";"=""w""";"=""6""";"=""6""";"=""6""";"=""MANSOUR EL SAYED Essmat""";"=""20.11.1986""";"=""EGY""";"=""48""";"=""46.30""";"=""55""";"=""*57.5""";"=""60""";"=""60""";"=""70""";"=""75""";"=""77.5""";"=""77.5""";"=""137.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""6""";"=""w""";"=""7""";"=""5""";"=""8""";"=""GALABAROVA Simona""";"=""14.12.1984""";"=""BUL""";"=""48""";"=""47.37""";"=""55""";"=""60""";"=""62.5""";"=""62.5""";"=""75""";"=""*80""";"=""*80""";"=""75""";"=""137.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""7""";"=""w""";"=""8""";"=""7""";"=""10""";"=""DE LUCA Enrica""";"=""01.03.1981""";"=""ITA""";"=""48""";"=""46.61""";"=""60""";"=""*62.5""";"=""*62.5""";"=""60""";"=""*70""";"=""70""";"=""*75""";"=""70""";"=""130""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""8""";"=""w""";"=""9""";"=""10""";"=""7""";"=""PERRIN Lucie""";"=""09.09.1983""";"=""FRA""";"=""48""";"=""47.06""";"=""55""";"=""*57.5""";"=""*57.5""";"=""55""";"=""75""";"=""*80""";"=""*80""";"=""75""";"=""130""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""9""";"=""w""";"=""10""";"=""8""";"=""9""";"=""RESTREPO Marcela""";"=""01.01.1983""";"=""COL""";"=""48""";"=""47.77""";"=""52.5""";"=""57.5""";"=""*60""";"=""57.5""";"=""72.5""";"=""*77.5""";"=""*77.5""";"=""72.5""";"=""130""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""10""";"=""w""";"=""11""";"=""11""";"=""11""";"=""DOZOIS-PREVOST Marilou""";"=""11.05.1986""";"=""CAN""";"=""48""";"=""47.96""";"=""*55""";"=""55""";"=""*60""";"=""55""";"=""67.5""";"=""*72.5""";"=""*72.5""";"=""67.5""";"=""122.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""11""";"=""w""";"=""1""";"=""2""";"=""1""";"=""LIM Jung-Hwa""";"=""01.01.1986""";"=""KOR""";"=""53""";"=""52.64""";"=""75""";"=""80""";"=""82.5""";"=""82.5""";"=""100""";"=""105""";"=""*110""";"=""105""";"=""187.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""12""";"=""w""";"=""2""";"=""1""";"=""2""";"=""BAI Xia""";"=""12.08.1983""";"=""CHN""";"=""53""";"=""51.04""";"=""77.5""";"=""80""";"=""82.5""";"=""82.5""";"=""102.5""";"=""*105""";"=""*107.5""";"=""102.5""";"=""185""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""13""";"=""w""";"=""3""";"=""3""";"=""5""";"=""TCHOUMADEEVA Ekaterina""";"=""01.01.1981""";"=""RUS""";"=""53""";"=""52.94""";"=""*75""";"=""75""";"=""80""";"=""80""";"=""*95""";"=""95""";"=""97.5""";"=""97.5""";"=""177.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""14""";"=""w""";"=""4""";"=""4""";"=""3""";"=""VILLASMIL MENDOZA Solenny Bolivia""";"=""12.05.1981""";"=""VEN""";"=""53""";"=""52.58""";"=""70""";"=""75""";"=""77.5""";"=""77.5""";"=""90""";"=""95""";"=""97.5""";"=""97.5""";"=""175""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""15""";"=""w""";"=""5""";"=""5""";"=""4""";"=""KASTRITSI Charikleia""";"=""11.04.1983""";"=""GRE""";"=""53""";"=""52.80""";"=""70""";"=""75""";"=""77.5""";"=""77.5""";"=""90""";"=""95""";"=""97.5""";"=""97.5""";"=""175""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""16""";"=""w""";"=""6""";"=""6""";"=""6""";"=""PARK Eun-Jin""";"=""22.03.1985""";"=""KOR""";"=""53""";"=""52.95""";"=""72.5""";"=""75""";"=""77.5""";"=""77.5""";"=""92.5""";"=""*97.5""";"=""97.5""";"=""97.5""";"=""175""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""17""";"=""w""";"=""7""";"=""7""";"=""9""";"=""SACHMACINSKA Barbara""";"=""24.09.1983""";"=""POL""";"=""53""";"=""52.79""";"=""72.5""";"=""75""";"=""*77.5""";"=""75""";"=""90""";"=""*92.5""";"=""92.5""";"=""92.5""";"=""167.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""18""";"=""w""";"=""8""";"=""10""";"=""7""";"=""PARDO MARRUGO Nidia Rosa""";"=""14.01.1983""";"=""VEN""";"=""53""";"=""52.49""";"=""67.5""";"=""70""";"=""*72.5""";"=""70""";"=""90""";"=""95""";"=""*97.5""";"=""95""";"=""165""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""19""";"=""w""";"=""9""";"=""11""";"=""8""";"=""LIN Mei-Ling""";"=""24.08.1982""";"=""TPE""";"=""53""";"=""52.61""";"=""*70""";"=""*70""";"=""70""";"=""70""";"=""95""";"=""*100""";"=""*100""";"=""95""";"=""165""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""20""";"=""w""";"=""10""";"=""12""";"=""10""";"=""LOZANO Martha""";"=""01.01.1982""";"=""COL""";"=""53""";"=""52.28""";"=""67.5""";"=""*70""";"=""*70""";"=""67.5""";"=""85""";"=""90""";"=""*92.5""";"=""90""";"=""157.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""21""";"=""w""";"=""11""";"=""8""";"=""11""";"=""TROTSENKO Nataliya""";"=""07.11.1984""";"=""UKR""";"=""53""";"=""50.63""";"=""67.5""";"=""70""";"=""*72.5""";"=""70""";"=""85""";"=""*90""";"=""*90""";"=""85""";"=""155""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""22""";"=""w""";"=""12""";"=""9""";"=""12""";"=""DAVIS Amber""";"=""17.06.1986""";"=""USA""";"=""53""";"=""52.46""";"=""*67.5""";"=""67.5""";"=""70""";"=""70""";"=""80""";"=""*85""";"=""85""";"=""85""";"=""155""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
"=""23""";"=""w""";"=""13""";"=""13""";"=""13""";"=""BROCHU Isabelle""";"=""21.07.1981""";"=""CAN""";"=""53""";"=""52.99""";"=""60""";"=""62.5""";"=""*65""";"=""62.5""";"=""77.5""";"=""80""";"=""*82.5""";"=""80""";"=""142.5""";"=""27th MEN's and 7th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2001""";
