pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""---""";"=""---""";"=""FOLARIN Morufa Ajoke""";"=""03.11.2002""";"=""NGR""";"=""44""";"=""42.95""";"=""50""";"=""51""";"=""*52""";"=""51""";"=""62""";"=""64""";"=""65""";"=""65""";"=""116""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""1""";"=""w""";"=""2""";"=""---""";"=""---""";"=""FAJRESLAM Maha""";"=""04.07.2003""";"=""MAR""";"=""44""";"=""43.05""";"=""35""";"=""40""";"=""44""";"=""44""";"=""52""";"=""57""";"=""60""";"=""60""";"=""104""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""2""";"=""w""";"=""3""";"=""---""";"=""---""";"=""RAVAKINIAINA Berthine""";"=""05.05.2002""";"=""MAD""";"=""44""";"=""43.55""";"=""35""";"=""40""";"=""*44""";"=""40""";"=""45""";"=""50""";"=""*55""";"=""50""";"=""90""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""3""";"=""w""";"=""4""";"=""---""";"=""---""";"=""MOKHELE Relebohile""";"=""02.06.2003""";"=""LES""";"=""44""";"=""40.75""";"=""30""";"=""*35""";"=""*40""";"=""30""";"=""35""";"=""40""";"=""*45""";"=""40""";"=""70""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""4""";"=""w""";"=""1""";"=""---""";"=""---""";"=""AGBA Ebelechukwu""";"=""20.02.2001""";"=""NGR""";"=""48""";"=""45.00""";"=""*60""";"=""60""";"=""61""";"=""61""";"=""72""";"=""*74""";"=""74""";"=""74""";"=""135""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""5""";"=""w""";"=""2""";"=""---""";"=""---""";"=""SABRI Nour El Houda""";"=""28.04.2003""";"=""ALG""";"=""48""";"=""47.80""";"=""49""";"=""52""";"=""53""";"=""53""";"=""66""";"=""69""";"=""70""";"=""70""";"=""123""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""6""";"=""w""";"=""3""";"=""---""";"=""---""";"=""BEN ISSA Yossra""";"=""16.09.2001""";"=""TUN""";"=""48""";"=""45.85""";"=""47""";"=""50""";"=""52""";"=""52""";"=""60""";"=""64""";"=""68""";"=""68""";"=""120""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""7""";"=""w""";"=""4""";"=""---""";"=""---""";"=""SABIHI Maryem""";"=""15.05.2002""";"=""MAR""";"=""48""";"=""47.50""";"=""45""";"=""*50""";"=""51""";"=""51""";"=""60""";"=""65""";"=""69""";"=""69""";"=""120""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""8""";"=""w""";"=""1""";"=""---""";"=""---""";"=""MOUSSA Amal Mohamed Tawfik""";"=""10.01.2001""";"=""EGY""";"=""53""";"=""50.35""";"=""60""";"=""65""";"=""68""";"=""68""";"=""77""";"=""*86""";"=""*86""";"=""77""";"=""145""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""9""";"=""w""";"=""2""";"=""---""";"=""---""";"=""MESSOUK Khadija""";"=""11.09.2002""";"=""MAR""";"=""53""";"=""51.90""";"=""52""";"=""55""";"=""58""";"=""58""";"=""65""";"=""70""";"=""74""";"=""74""";"=""132""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""10""";"=""w""";"=""3""";"=""---""";"=""---""";"=""BELOUNIS Nihad""";"=""09.01.2003""";"=""ALG""";"=""53""";"=""52.50""";"=""53""";"=""57""";"=""*60""";"=""57""";"=""67""";"=""72""";"=""*76""";"=""72""";"=""129""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""11""";"=""w""";"=""4""";"=""---""";"=""---""";"=""HYENG Renee Manuela""";"=""03.06.2002""";"=""CMR""";"=""53""";"=""52.90""";"=""50""";"=""55""";"=""*62""";"=""55""";"=""*63""";"=""63""";"=""*70""";"=""63""";"=""118""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""12""";"=""w""";"=""5""";"=""---""";"=""---""";"=""SEBAPADI Nicole Etsanang""";"=""16.04.2001""";"=""BOT""";"=""53""";"=""50.80""";"=""35""";"=""*37""";"=""37""";"=""37""";"=""35""";"=""40""";"=""45""";"=""45""";"=""82""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""13""";"=""m""";"=""1""";"=""---""";"=""---""";"=""MADANAMOOTHOO Jack Dorian""";"=""19.04.2001""";"=""MRI""";"=""56""";"=""54.85""";"=""80""";"=""84""";"=""*85""";"=""84""";"=""100""";"=""105""";"=""*110""";"=""105""";"=""189""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""14""";"=""m""";"=""2""";"=""---""";"=""---""";"=""AJAYI James Eche""";"=""24.04.2003""";"=""NGR""";"=""56""";"=""55.55""";"=""72""";"=""80""";"=""83""";"=""83""";"=""*100""";"=""100""";"=""103""";"=""103""";"=""186""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""15""";"=""m""";"=""3""";"=""---""";"=""---""";"=""ROUMEILI Mohamed""";"=""13.01.2002""";"=""ALG""";"=""56""";"=""55.00""";"=""77""";"=""81""";"=""*85""";"=""81""";"=""97""";"=""101""";"=""104""";"=""104""";"=""185""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""16""";"=""m""";"=""4""";"=""---""";"=""---""";"=""ABU HAMED Abdelmalek Ali Abdullah""";"=""24.01.2001""";"=""LBA""";"=""56""";"=""55.40""";"=""*75""";"=""76""";"=""*81""";"=""76""";"=""92""";"=""*98""";"=""*100""";"=""92""";"=""168""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""17""";"=""m""";"=""5""";"=""---""";"=""---""";"=""SAIDANI Jasser""";"=""19.08.2001""";"=""TUN""";"=""56""";"=""55.75""";"=""71""";"=""75""";"=""*80""";"=""75""";"=""93""";"=""*98""";"=""*101""";"=""93""";"=""168""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""18""";"=""m""";"=""6""";"=""---""";"=""---""";"=""LUTAAYA Hamdan Sserwanga""";"=""07.01.2002""";"=""UGA""";"=""56""";"=""55.30""";"=""55""";"=""58""";"=""*90""";"=""58""";"=""72""";"=""0.0""";"=""*77""";"=""77""";"=""135""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""19""";"=""m""";"=""7""";"=""---""";"=""---""";"=""RAMMONENG Paballo""";"=""01.05.2002""";"=""LES""";"=""56""";"=""54.95""";"=""*50""";"=""50""";"=""*60""";"=""50""";"=""65""";"=""70""";"=""*76""";"=""70""";"=""120""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""20""";"=""m""";"=""---""";"=""---""";"=""---""";"=""NIZAM Maoulida""";"=""07.07.2001""";"=""COM""";"=""56""";"=""55.65""";"=""36""";"=""38""";"=""40""";"=""40""";"=""*40""";"=""*40""";"=""*42""";"=""---""";"=""0""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""21""";"=""w""";"=""1""";"=""---""";"=""---""";"=""YUSUF Islamiyat Adebuko""";"=""05.03.2003""";"=""NGR""";"=""58""";"=""56.85""";"=""75""";"=""*78""";"=""79""";"=""79""";"=""95""";"=""96""";"=""*98""";"=""96""";"=""175""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""22""";"=""w""";"=""2""";"=""---""";"=""---""";"=""RAHMOUNI Chaima""";"=""25.03.2001""";"=""TUN""";"=""58""";"=""57.25""";"=""73""";"=""*77""";"=""78""";"=""78""";"=""*93""";"=""93""";"=""97""";"=""97""";"=""175""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""23""";"=""w""";"=""3""";"=""---""";"=""---""";"=""MOYENGWA Magdeline""";"=""31.03.2001""";"=""BOT""";"=""58""";"=""56.00""";"=""45""";"=""55""";"=""58""";"=""58""";"=""55""";"=""62""";"=""65""";"=""65""";"=""123""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""24""";"=""m""";"=""1""";"=""---""";"=""---""";"=""ABDELLAH Awney Ahmed Abdelsamee""";"=""16.07.2001""";"=""EGY""";"=""62""";"=""60.65""";"=""100""";"=""107""";"=""*111""";"=""107""";"=""126""";"=""136""";"=""*137""";"=""136""";"=""243""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""25""";"=""m""";"=""2""";"=""---""";"=""---""";"=""UMOAFIA Edidiong Joseph""";"=""24.09.2002""";"=""NGR""";"=""62""";"=""61.85""";"=""105""";"=""110""";"=""112""";"=""112""";"=""125""";"=""130""";"=""*135""";"=""130""";"=""242""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""26""";"=""m""";"=""3""";"=""---""";"=""---""";"=""MOULABBI Mohamed""";"=""29.10.2001""";"=""MAR""";"=""62""";"=""60.90""";"=""83""";"=""90""";"=""95""";"=""95""";"=""105""";"=""110""";"=""114""";"=""114""";"=""209""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""27""";"=""m""";"=""4""";"=""---""";"=""---""";"=""BIN SAEID Salih Mihriz Salih""";"=""04.08.2001""";"=""LBA""";"=""62""";"=""60.10""";"=""86""";"=""91""";"=""94""";"=""94""";"=""107""";"=""111""";"=""115""";"=""115""";"=""209""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""28""";"=""m""";"=""5""";"=""---""";"=""---""";"=""BEN HADJ Mohamed Aziz""";"=""14.01.2002""";"=""TUN""";"=""62""";"=""61.30""";"=""*87""";"=""88""";"=""*92""";"=""88""";"=""106""";"=""*109""";"=""111""";"=""111""";"=""199""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""29""";"=""m""";"=""6""";"=""---""";"=""---""";"=""KAMARA Lamin""";"=""29.09.2001""";"=""SLE""";"=""62""";"=""58.55""";"=""70""";"=""*75""";"=""75""";"=""75""";"=""*95""";"=""95""";"=""*105""";"=""95""";"=""170""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""30""";"=""w""";"=""1""";"=""---""";"=""---""";"=""SAID Neama Said Fahmi""";"=""15.11.2002""";"=""EGY""";"=""63""";"=""59.30""";"=""80""";"=""86""";"=""90""";"=""90""";"=""100""";"=""107""";"=""*110""";"=""107""";"=""197""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""31""";"=""w""";"=""2""";"=""---""";"=""---""";"=""LENT Ketty""";"=""25.01.2001""";"=""MRI""";"=""63""";"=""61.60""";"=""67""";"=""76""";"=""*80""";"=""76""";"=""87""";"=""95""";"=""*97""";"=""95""";"=""171""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""32""";"=""m""";"=""1""";"=""---""";"=""---""";"=""OPADEJI Adedapo Adeleke""";"=""11.10.2001""";"=""NGR""";"=""69""";"=""66.35""";"=""105""";"=""110""";"=""112""";"=""112""";"=""132""";"=""135""";"=""138""";"=""138""";"=""250""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""33""";"=""m""";"=""2""";"=""---""";"=""---""";"=""CHEKHCHOUKH Ahmed""";"=""18.02.2001""";"=""ALG""";"=""69""";"=""66.65""";"=""*101""";"=""101""";"=""106""";"=""106""";"=""*132""";"=""133""";"=""137""";"=""137""";"=""243""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""34""";"=""m""";"=""3""";"=""---""";"=""---""";"=""AQEEL Mohammed Fouzi Salim""";"=""24.07.2002""";"=""LBA""";"=""69""";"=""65.10""";"=""80""";"=""85""";"=""*91""";"=""85""";"=""93""";"=""100""";"=""105""";"=""105""";"=""190""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""35""";"=""m""";"=""---""";"=""---""";"=""---""";"=""PANDOO Dinesh Jevin""";"=""25.02.2001""";"=""MRI""";"=""69""";"=""68.40""";"=""102""";"=""*107""";"=""107""";"=""107""";"=""*133""";"=""*133""";"=""*133""";"=""---""";"=""0""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""36""";"=""m""";"=""1""";"=""---""";"=""---""";"=""MOSTAFA Abdalla Galal Mohamed""";"=""23.04.2001""";"=""EGY""";"=""77""";"=""76.55""";"=""125""";"=""132""";"=""*136""";"=""132""";"=""155""";"=""163""";"=""*170""";"=""163""";"=""295""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""37""";"=""m""";"=""2""";"=""---""";"=""---""";"=""NGAINA II Hermann Junior""";"=""25.08.2001""";"=""CMR""";"=""77""";"=""75.80""";"=""100""";"=""110""";"=""115""";"=""115""";"=""126""";"=""*140""";"=""145""";"=""145""";"=""260""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""38""";"=""m""";"=""3""";"=""---""";"=""---""";"=""FALTAKH Muhanad Mousay Mohammed""";"=""07.04.2002""";"=""LBA""";"=""77""";"=""69.80""";"=""68""";"=""*76""";"=""76""";"=""76""";"=""82""";"=""90""";"=""*95""";"=""90""";"=""166""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""39""";"=""m""";"=""1""";"=""---""";"=""---""";"=""HELAL Ismail Helal Abdelfattah S""";"=""16.06.2001""";"=""EGY""";"=""85""";"=""83.50""";"=""125""";"=""135""";"=""140""";"=""140""";"=""150""";"=""*164""";"=""*165""";"=""150""";"=""290""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""40""";"=""m""";"=""2""";"=""---""";"=""---""";"=""BOUHI Soufiane """;"=""12.04.2001""";"=""MAR""";"=""85""";"=""83.05""";"=""110""";"=""118""";"=""120""";"=""120""";"=""130""";"=""137""";"=""144""";"=""144""";"=""264""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""41""";"=""m""";"=""3""";"=""---""";"=""---""";"=""NTEP TJECK Steeve Loic""";"=""02.02.2001""";"=""CMR""";"=""85""";"=""79.25""";"=""105""";"=""110""";"=""119""";"=""119""";"=""125""";"=""136""";"=""*143""";"=""136""";"=""255""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
"=""42""";"=""m""";"=""4""";"=""---""";"=""---""";"=""BAHROUN Mahmoud Abdulrraziq Ali""";"=""16.03.2001""";"=""LBA""";"=""85""";"=""83.30""";"=""85""";"=""*90""";"=""*90""";"=""85""";"=""100""";"=""*105""";"=""105""";"=""105""";"=""190""";"=""3rd AFRICAN YOUTH GAMES""";"=""07.2018""";
