pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""TAYLAN Nurcan""";"=""29.10.1983""";"=""TUR""";"=""48""";"=""47.63""";"=""85""";"=""90""";"=""---""";"=""90""";"=""105""";"=""*110""";"=""---""";"=""105""";"=""195""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""1""";"=""w""";"=""2""";"=""3""";"=""2""";"=""KARAGOZ Nurdan""";"=""25.01.1987""";"=""TUR""";"=""48""";"=""47.33""";"=""78""";"=""80""";"=""*82""";"=""80""";"=""*100""";"=""100""";"=""*105""";"=""100""";"=""180""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""2""";"=""w""";"=""3""";"=""2""";"=""3""";"=""PAGLIARO Genny Caterina""";"=""15.10.1988""";"=""ITA""";"=""48""";"=""47.58""";"=""*80""";"=""82""";"=""*85""";"=""82""";"=""*97""";"=""*97""";"=""98""";"=""98""";"=""180""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""4""";"=""KARPINSKA Marzena""";"=""19.02.1988""";"=""POL""";"=""48""";"=""47.56""";"=""77""";"=""*79""";"=""*80""";"=""77""";"=""93""";"=""*95""";"=""*95""";"=""93""";"=""170""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""4""";"=""w""";"=""5""";"=""5""";"=""5""";"=""JUAN TELLO Estefania""";"=""17.08.1981""";"=""ESP""";"=""48""";"=""47.62""";"=""70""";"=""73""";"=""76""";"=""76""";"=""90""";"=""93""";"=""*96""";"=""93""";"=""169""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""5""";"=""w""";"=""6""";"=""7""";"=""6""";"=""NOEL BARDIS Melanie Marie Anna""";"=""13.05.1986""";"=""FRA""";"=""48""";"=""47.68""";"=""67""";"=""*70""";"=""70""";"=""70""";"=""86""";"=""91""";"=""*93""";"=""91""";"=""161""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""6""";"=""w""";"=""7""";"=""6""";"=""7""";"=""IOVU Cristina""";"=""08.11.1992""";"=""MDA""";"=""48""";"=""47.72""";"=""68""";"=""71""";"=""*74""";"=""71""";"=""85""";"=""90""";"=""*93""";"=""90""";"=""161""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""7""";"=""w""";"=""8""";"=""8""";"=""8""";"=""D ALESSANDRO Giovanna""";"=""22.07.1982""";"=""ITA""";"=""48""";"=""43.82""";"=""62""";"=""65""";"=""67""";"=""67""";"=""82""";"=""85""";"=""*87""";"=""85""";"=""152""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""8""";"=""w""";"=""9""";"=""10""";"=""9""";"=""BONNAMANT Melanie Isabelle""";"=""30.05.1992""";"=""FRA""";"=""48""";"=""47.51""";"=""61""";"=""64""";"=""*66""";"=""64""";"=""77""";"=""80""";"=""82""";"=""82""";"=""146""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
"=""9""";"=""w""";"=""10""";"=""9""";"=""10""";"=""ATHANASIADOU Anna""";"=""13.02.1981""";"=""GRE""";"=""48""";"=""47.41""";"=""65""";"=""*70""";"=""*70""";"=""65""";"=""75""";"=""*80""";"=""*80""";"=""75""";"=""140""";"=""90TH MEN AND 24TH WOMEN EUROPEAN CHAMPIONSHIPS""";"=""04.2011""";
