pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""2""";"=""1""";"=""MUNOZ LOPEZ Viviana Izamar""";"=""10.11.1995""";"=""MEX""";"=""44""";"=""43.36""";"=""52""";"=""55""";"=""*57""";"=""55""";"=""72""";"=""75""";"=""76""";"=""76""";"=""131""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""1""";"=""W""";"=""2""";"=""1""";"=""2""";"=""SIERRA FIGUEROA Maria Janeth""";"=""01.03.1995""";"=""VEN""";"=""44""";"=""43.26""";"=""50""";"=""53""";"=""56""";"=""56""";"=""70""";"=""74""";"=""*76""";"=""74""";"=""130""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""3""";"=""DUENAS Ana Maria""";"=""09.03.1995""";"=""COL""";"=""44""";"=""43.90""";"=""52""";"=""*54""";"=""54""";"=""54""";"=""68""";"=""71""";"=""74""";"=""74""";"=""128""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""3""";"=""W""";"=""4""";"=""5""";"=""4""";"=""DE LEON VALDEZ Astrid Carolina""";"=""05.03.1995""";"=""GUA""";"=""44""";"=""43.32""";"=""*42""";"=""42""";"=""45""";"=""45""";"=""60""";"=""*63""";"=""*63""";"=""60""";"=""105""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""4""";"=""W""";"=""5""";"=""4""";"=""5""";"=""AGUAS Monica""";"=""01.01.1995""";"=""ECU""";"=""44""";"=""38.96""";"=""45""";"=""*49""";"=""*50""";"=""45""";"=""55""";"=""*60""";"=""*60""";"=""55""";"=""100""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""5""";"=""W""";"=""6""";"=""6""";"=""6""";"=""CURI HUARCA Cindy Lisbeth""";"=""18.04.1996""";"=""PER""";"=""44""";"=""43.10""";"=""36""";"=""40""";"=""*42""";"=""40""";"=""51""";"=""*55""";"=""55""";"=""55""";"=""95""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""6""";"=""W""";"=""1""";"=""2""";"=""1""";"=""RODRIGUEZ GOMEZ Genesis Lourdes""";"=""17.07.1994""";"=""VEN""";"=""48""";"=""47.66""";"=""*63""";"=""63""";"=""66""";"=""66""";"=""79""";"=""86""";"=""*91""";"=""86""";"=""152""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""7""";"=""W""";"=""2""";"=""1""";"=""2""";"=""CHAPARRO GAITAN Karen Lorena""";"=""21.09.1994""";"=""COL""";"=""48""";"=""47.94""";"=""62""";"=""65""";"=""67""";"=""67""";"=""*77""";"=""*77""";"=""77""";"=""77""";"=""144""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""8""";"=""W""";"=""3""";"=""4""";"=""3""";"=""CHAY DZUL Diana""";"=""07.02.1995""";"=""MEX""";"=""48""";"=""46.58""";"=""55""";"=""58""";"=""*60""";"=""58""";"=""75""";"=""*78""";"=""*78""";"=""75""";"=""133""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
"=""9""";"=""W""";"=""4""";"=""3""";"=""4""";"=""PUELLO Claritza""";"=""05.10.1993""";"=""DOM""";"=""48""";"=""47.02""";"=""52""";"=""57""";"=""60""";"=""60""";"=""62""";"=""67""";"=""73""";"=""73""";"=""133""";"=""IWF YOUTH OLYMPIC QUALIFICATION EVENT FOR PAN AMERICA""";"=""04.2010""";
