pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""MICHEL Anais""";"=""12.01.1988""";"=""FRA""";"=""53""";"=""49.80""";"=""*65""";"=""65""";"=""68""";"=""68""";"=""*83""";"=""83""";"=""*87""";"=""83""";"=""151""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""1""";"=""w""";"=""1""";"=""2""";"=""1""";"=""NEVJESTIC Ljubica""";"=""01.01.1988""";"=""BIH""";"=""58""";"=""57.30""";"=""50""";"=""*55""";"=""55""";"=""55""";"=""67""";"=""*71""";"=""71""";"=""71""";"=""126""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""2""";"=""w""";"=""2""";"=""1""";"=""2""";"=""RESZ Anita""";"=""28.11.1986""";"=""HUN""";"=""58""";"=""56.00""";"=""50""";"=""53""";"=""55""";"=""55""";"=""61""";"=""65""";"=""67""";"=""67""";"=""122""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""3""";"=""w""";"=""3""";"=""3""";"=""3""";"=""MOJZES Marija""";"=""11.06.1993""";"=""SRB""";"=""58""";"=""57.80""";"=""50""";"=""*54""";"=""*54""";"=""50""";"=""60""";"=""63""";"=""*65""";"=""63""";"=""113""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""4""";"=""w""";"=""1""";"=""1""";"=""1""";"=""VUKAS Silvana""";"=""31.03.1985""";"=""SRB""";"=""63""";"=""62.60""";"=""70""";"=""*74""";"=""*76""";"=""70""";"=""91""";"=""95""";"=""*100""";"=""95""";"=""165""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""5""";"=""w""";"=""2""";"=""2""";"=""2""";"=""KANKARAS Gorica""";"=""27.09.1980""";"=""SRB""";"=""63""";"=""62.10""";"=""60""";"=""*65""";"=""*65""";"=""60""";"=""75""";"=""80""";"=""*85""";"=""80""";"=""140""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""6""";"=""w""";"=""3""";"=""3""";"=""3""";"=""PAVLIC Petra""";"=""03.02.1992""";"=""SLO""";"=""63""";"=""62.50""";"=""45""";"=""50""";"=""53""";"=""53""";"=""63""";"=""68""";"=""71""";"=""71""";"=""124""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""7""";"=""w""";"=""1""";"=""1""";"=""1""";"=""LUKACS Brigita""";"=""01.09.1990""";"=""SRB""";"=""69""";"=""68.60""";"=""50""";"=""53""";"=""*56""";"=""53""";"=""60""";"=""65""";"=""*67""";"=""65""";"=""118""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""8""";"=""w""";"=""2""";"=""2""";"=""2""";"=""KISO Ana""";"=""04.01.1993""";"=""SRB""";"=""69""";"=""68.60""";"=""40""";"=""45""";"=""*50""";"=""45""";"=""60""";"=""65""";"=""*68""";"=""65""";"=""110""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""9""";"=""w""";"=""1""";"=""1""";"=""1""";"=""MACURA Kristina""";"=""27.08.1992""";"=""SRB""";"=""75""";"=""75.00""";"=""60""";"=""62""";"=""*64""";"=""62""";"=""66""";"=""*69""";"=""*70""";"=""66""";"=""128""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""10""";"=""m""";"=""1""";"=""1""";"=""1""";"=""CELIL Ekrem""";"=""20.02.1980""";"=""TUR""";"=""77""";"=""74.20""";"=""137""";"=""*142""";"=""142""";"=""142""";"=""170""";"=""175""";"=""180""";"=""180""";"=""322""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""11""";"=""m""";"=""2""";"=""2""";"=""3""";"=""KINGUE MATAM Bernardin Ledoux""";"=""20.05.1990""";"=""FRA""";"=""77""";"=""73.30""";"=""136""";"=""140""";"=""*143""";"=""140""";"=""170""";"=""175""";"=""*177""";"=""175""";"=""315""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""12""";"=""m""";"=""3""";"=""3""";"=""2""";"=""DABAYA TIENTCHEU Vencelas""";"=""28.04.1981""";"=""FRA""";"=""77""";"=""72.40""";"=""137""";"=""*142""";"=""*145""";"=""137""";"=""177""";"=""*182""";"=""*182""";"=""177""";"=""314""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""13""";"=""m""";"=""4""";"=""5""";"=""5""";"=""PEIC TUKULJAC Dejan""";"=""02.09.1979""";"=""SRB""";"=""77""";"=""73.00""";"=""105""";"=""110""";"=""*113""";"=""110""";"=""135""";"=""*140""";"=""*140""";"=""135""";"=""245""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""14""";"=""m""";"=""---""";"=""---""";"=""4""";"=""PETROVIC Bojan""";"=""23.12.1992""";"=""SRB""";"=""77""";"=""73.90""";"=""*110""";"=""*115""";"=""*115""";"=""---""";"=""135""";"=""140""";"=""*146""";"=""140""";"=""0""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""15""";"=""m""";"=""---""";"=""4""";"=""---""";"=""HORVAT Kristian""";"=""20.06.1984""";"=""SRB""";"=""77""";"=""77.00""";"=""*125""";"=""125""";"=""*128""";"=""125""";"=""*150""";"=""*150""";"=""*155""";"=""---""";"=""0""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""16""";"=""m""";"=""1""";"=""1""";"=""1""";"=""PETROVIC Sladan""";"=""05.12.1989""";"=""SRB""";"=""85""";"=""81.40""";"=""*125""";"=""125""";"=""*130""";"=""125""";"=""150""";"=""155""";"=""160""";"=""160""";"=""285""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""17""";"=""m""";"=""2""";"=""2""";"=""2""";"=""LUKAC Jozef""";"=""24.06.1990""";"=""SRB""";"=""85""";"=""83.90""";"=""112""";"=""117""";"=""*122""";"=""117""";"=""145""";"=""151""";"=""*155""";"=""151""";"=""268""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""18""";"=""m""";"=""3""";"=""4""";"=""3""";"=""ROZSNYIK Ervin""";"=""22.05.1993""";"=""SRB""";"=""85""";"=""81.50""";"=""110""";"=""*116""";"=""*116""";"=""110""";"=""135""";"=""*140""";"=""*140""";"=""135""";"=""245""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""19""";"=""m""";"=""4""";"=""3""";"=""4""";"=""ORESEK Jernej""";"=""11.09.1990""";"=""SLO""";"=""85""";"=""78.60""";"=""105""";"=""110""";"=""112""";"=""112""";"=""117""";"=""122""";"=""123""";"=""123""";"=""235""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""20""";"=""m""";"=""5""";"=""5""";"=""5""";"=""KOZMA David""";"=""11.02.1992""";"=""HUN""";"=""85""";"=""81.50""";"=""95""";"=""*100""";"=""101""";"=""101""";"=""115""";"=""*117""";"=""122""";"=""122""";"=""223""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""21""";"=""m""";"=""---""";"=""---""";"=""---""";"=""BARDIS Giovanni Battista""";"=""21.05.1987""";"=""FRA""";"=""85""";"=""84.70""";"=""*155""";"=""*155""";"=""*155""";"=""---""";"=""*175""";"=""*175""";"=""---""";"=""---""";"=""0""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""22""";"=""m""";"=""1""";"=""1""";"=""1""";"=""HENNEQUIN Benjamin Didier""";"=""24.08.1984""";"=""FRA""";"=""94""";"=""89.50""";"=""157""";"=""162""";"=""*165""";"=""162""";"=""197""";"=""202""";"=""206""";"=""206""";"=""368""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""23""";"=""m""";"=""2""";"=""2""";"=""2""";"=""KUZIC Nenad""";"=""17.09.1991""";"=""SRB""";"=""94""";"=""93.00""";"=""120""";"=""125""";"=""*130""";"=""125""";"=""160""";"=""*170""";"=""*171""";"=""160""";"=""285""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""24""";"=""m""";"=""1""";"=""1""";"=""2""";"=""TOMIC Igor""";"=""06.11.1987""";"=""SRB""";"=""105""";"=""96.90""";"=""115""";"=""120""";"=""130""";"=""130""";"=""135""";"=""140""";"=""145""";"=""145""";"=""275""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""25""";"=""m""";"=""2""";"=""2""";"=""1""";"=""PIRIJA Armin""";"=""07.03.1980""";"=""BIH""";"=""105""";"=""101.60""";"=""112""";"=""117""";"=""*121""";"=""117""";"=""142""";"=""147""";"=""150""";"=""150""";"=""267""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""26""";"=""m""";"=""3""";"=""3""";"=""3""";"=""KUVIK Kristian""";"=""30.09.1992""";"=""SVK""";"=""105""";"=""100.50""";"=""110""";"=""*115""";"=""115""";"=""115""";"=""130""";"=""135""";"=""*142""";"=""135""";"=""250""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""27""";"=""w""";"=""1""";"=""1""";"=""1""";"=""RUDALJEVIC Marija""";"=""03.08.1993""";"=""SRB""";"=""p75""";"=""79.90""";"=""50""";"=""55""";"=""58""";"=""58""";"=""65""";"=""70""";"=""*72""";"=""70""";"=""128""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""28""";"=""m""";"=""1""";"=""1""";"=""1""";"=""NAD Caba""";"=""30.11.1980""";"=""SRB""";"=""p105""";"=""138.90""";"=""160""";"=""165""";"=""*170""";"=""165""";"=""190""";"=""200""";"=""*211""";"=""200""";"=""365""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
"=""29""";"=""m""";"=""2""";"=""2""";"=""2""";"=""KAJDOCSI Tivadar""";"=""15.10.1993""";"=""SRB""";"=""p105""";"=""126.50""";"=""115""";"=""*120""";"=""*120""";"=""115""";"=""155""";"=""*160""";"=""160""";"=""160""";"=""275""";"=""4TH INTERNATIONAL TOURNAMENT VLADAN MIHAJLOVIC MEMORIAL""";"=""10.2011""";
