pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""NIYANAGI Kaori""";"=""21.11.1977""";"=""JPN""";"=""48""";"=""47.80""";"=""*72.5""";"=""*72.5""";"=""72.5""";"=""72.5""";"=""95""";"=""100""";"=""*102.5""";"=""100""";"=""172.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""2""";"=""LIN Miao-Chun""";"=""15.01.1979""";"=""TPE""";"=""48""";"=""47.36""";"=""60""";"=""65""";"=""*70""";"=""65""";"=""75""";"=""82.5""";"=""*87.5""";"=""82.5""";"=""147.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""3""";"=""RODRIGUEZ S. Gladys""";"=""12.09.1976""";"=""PUR""";"=""48""";"=""47.00""";"=""*50""";"=""50""";"=""*55""";"=""50""";"=""65""";"=""67.5""";"=""70""";"=""70""";"=""120""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""4""";"=""KOULOVA Janna""";"=""02.10.1981""";"=""RUS""";"=""48""";"=""47.16""";"=""40""";"=""45""";"=""50""";"=""50""";"=""60""";"=""*67.5""";"=""*67.5""";"=""60""";"=""110""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""4""";"=""w""";"=""1""";"=""1""";"=""1""";"=""MENG Xianjuan""";"=""24.09.1975""";"=""CHN""";"=""53""";"=""52.78""";"=""90""";"=""95.5""";"=""97.5""";"=""97.5""";"=""112.5""";"=""117.5""";"=""120.5""";"=""120.5""";"=""217.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""5""";"=""w""";"=""2""";"=""2""";"=""2""";"=""HUANG Chin-Hsiu""";"=""21.10.1976""";"=""TPE""";"=""53""";"=""52.54""";"=""75""";"=""*80""";"=""*80""";"=""75""";"=""92.5""";"=""95""";"=""*100""";"=""95""";"=""170""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""6""";"=""w""";"=""3""";"=""3""";"=""3""";"=""DANEKOVA Dagmar""";"=""20.02.1978""";"=""SVK""";"=""53""";"=""52.78""";"=""70""";"=""72.5""";"=""*75""";"=""72.5""";"=""90""";"=""92.5""";"=""95""";"=""95""";"=""167.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""7""";"=""w""";"=""4""";"=""4""";"=""4""";"=""KIMATA Hiromi""";"=""16.12.1978""";"=""JPN""";"=""53""";"=""53.00""";"=""67.5""";"=""72.5""";"=""*75""";"=""72.5""";"=""87.5""";"=""92.5""";"=""95""";"=""95""";"=""167.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""8""";"=""m""";"=""1""";"=""1""";"=""2""";"=""YU Tingxiao""";"=""24.02.1975""";"=""CHN""";"=""56""";"=""55.84""";"=""115""";"=""120""";"=""*125""";"=""120""";"=""145""";"=""*150""";"=""*155""";"=""145""";"=""265""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""9""";"=""m""";"=""2""";"=""2""";"=""1""";"=""LIANG Huirong""";"=""01.09.1977""";"=""CHN""";"=""56""";"=""55.86""";"=""110""";"=""115""";"=""*120""";"=""115""";"=""142.5""";"=""147.5""";"=""*157.5""";"=""147.5""";"=""262.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""10""";"=""m""";"=""3""";"=""3""";"=""3""";"=""KIKUZUMA Yasuji""";"=""30.05.1978""";"=""JPN""";"=""56""";"=""55.50""";"=""100""";"=""105""";"=""*107.5""";"=""105""";"=""*135""";"=""135""";"=""*140""";"=""135""";"=""240""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""11""";"=""m""";"=""4""";"=""4""";"=""4""";"=""WU Kun-Chan""";"=""28.06.1976""";"=""TPE""";"=""56""";"=""55.64""";"=""95""";"=""*102.5""";"=""102.5""";"=""102.5""";"=""125""";"=""130""";"=""*137.5""";"=""130""";"=""232.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""12""";"=""m""";"=""---""";"=""5""";"=""---""";"=""RIVERA Diaz Donny""";"=""18.03.1976""";"=""PUR""";"=""56""";"=""55.94""";"=""*80""";"=""80""";"=""*85""";"=""80""";"=""*105""";"=""*105""";"=""*105""";"=""---""";"=""0""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""13""";"=""w""";"=""1""";"=""1""";"=""1""";"=""SONG Zhijuan""";"=""27.09.1980""";"=""CHN""";"=""58""";"=""57.76""";"=""92.5""";"=""98.5""";"=""---""";"=""98.5""";"=""115""";"=""120""";"=""125.5""";"=""125.5""";"=""222.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""14""";"=""w""";"=""2""";"=""3""";"=""2""";"=""TURCOTTE Maryse""";"=""23.02.1975""";"=""CAN""";"=""58""";"=""57.46""";"=""*82.5""";"=""82.5""";"=""*87.5""";"=""82.5""";"=""110""";"=""115""";"=""*117.5""";"=""115""";"=""197.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""15""";"=""w""";"=""3""";"=""2""";"=""3""";"=""CHEN Fu-Chin""";"=""07.08.1977""";"=""TPE""";"=""58""";"=""57.96""";"=""*82.5""";"=""82.5""";"=""87.5""";"=""87.5""";"=""102.5""";"=""*107.5""";"=""*110""";"=""102.5""";"=""190""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""16""";"=""w""";"=""4""";"=""4""";"=""4""";"=""KAWANABE Asami""";"=""30.06.1977""";"=""JPN""";"=""58""";"=""57.54""";"=""72.5""";"=""77.5""";"=""*80""";"=""77.5""";"=""95""";"=""100""";"=""*102.5""";"=""100""";"=""177.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
"=""17""";"=""w""";"=""5""";"=""5""";"=""5""";"=""FRANCISCO Solsiris""";"=""27.11.1977""";"=""PUR""";"=""58""";"=""56.94""";"=""65""";"=""70""";"=""72.5""";"=""72.5""";"=""85""";"=""90""";"=""*92.5""";"=""90""";"=""162.5""";"=""2nd UNIVERSITY WORLD CUP""";"=""05.1999""";
