pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""OMAR Noof""";"=""30.10.1993""";"=""YEM""";"=""48""";"=""47.90""";"=""42""";"=""*45""";"=""*50""";"=""42""";"=""*50""";"=""50""";"=""55""";"=""55""";"=""97""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""1""";"=""w""";"=""1""";"=""1""";"=""1""";"=""SOUMAYA Fatnassi""";"=""13.02.1980""";"=""TUN""";"=""53""";"=""52.40""";"=""70""";"=""*81""";"=""81""";"=""81""";"=""90""";"=""*101""";"=""*101""";"=""90""";"=""171""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""2""";"=""w""";"=""2""";"=""2""";"=""2""";"=""FILALI Kenza""";"=""27.12.1981""";"=""ALG""";"=""53""";"=""52.30""";"=""*62""";"=""63""";"=""67""";"=""67""";"=""*83""";"=""83""";"=""86""";"=""86""";"=""153""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""3""";"=""w""";"=""3""";"=""3""";"=""3""";"=""ELAYYAN Asmahan Mohammad Hamed""";"=""10.06.1985""";"=""JOR""";"=""53""";"=""51.70""";"=""62""";"=""*65""";"=""66""";"=""66""";"=""82""";"=""85""";"=""*87""";"=""85""";"=""151""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""4""";"=""w""";"=""4""";"=""4""";"=""4""";"=""DIK Soumia""";"=""19.10.1988""";"=""MAR""";"=""53""";"=""48.80""";"=""52""";"=""55""";"=""*58""";"=""55""";"=""68""";"=""72""";"=""*75""";"=""72""";"=""127""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""5""";"=""w""";"=""5""";"=""5""";"=""5""";"=""AL-SAEDI Huda Salim Neamah""";"=""08.07.1997""";"=""IRQ""";"=""53""";"=""51.30""";"=""50""";"=""*53""";"=""*56""";"=""50""";"=""61""";"=""*70""";"=""*70""";"=""61""";"=""111""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""6""";"=""m""";"=""1""";"=""2""";"=""1""";"=""AL KULAIBI Suhail Mahfoodh Ali""";"=""30.06.1984""";"=""OMA""";"=""56""";"=""55.70""";"=""105""";"=""110""";"=""*111""";"=""110""";"=""127""";"=""*130""";"=""133""";"=""133""";"=""243""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""7""";"=""m""";"=""2""";"=""1""";"=""4""";"=""AL SALEEM Mansour Abdulrahim M""";"=""16.03.1988""";"=""KSA""";"=""56""";"=""53.80""";"=""105""";"=""*110""";"=""110""";"=""110""";"=""125""";"=""*128""";"=""*128""";"=""125""";"=""235""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""8""";"=""m""";"=""3""";"=""4""";"=""2""";"=""AL-HAMADANI Yasir""";"=""15.08.1991""";"=""IRQ""";"=""56""";"=""55.30""";"=""96""";"=""100""";"=""*102""";"=""100""";"=""126""";"=""129""";"=""*134""";"=""129""";"=""229""";"=""PAN ARAB GAMES""";"=""12.2011""";
"=""9""";"=""m""";"=""4""";"=""3""";"=""5""";"=""ALABDULAL Abbas Salman A""";"=""09.06.1991""";"=""KSA""";"=""56""";"=""56.00""";"=""97""";"=""101""";"=""*102""";"=""101""";"=""118""";"=""122""";"=""125""";"=""125""";"=""226""";"=""PAN ARAB GAMES""";"=""12.2011""";
