pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""BEKTAS Cansu""";"=""23.11.2003""";"=""TUR""";"=""40""";"=""39.11""";"=""50""";"=""* 54""";"=""54""";"=""54""";"=""61""";"=""64""";"=""66""";"=""66""";"=""120""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""HONG Zi Yu""";"=""13.07.2002""";"=""TPE""";"=""40""";"=""39.96""";"=""48""";"=""53""";"=""* 55""";"=""53""";"=""57""";"=""* 62""";"=""63""";"=""63""";"=""116""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""3""";"=""ULKER Zeliha""";"=""02.05.2002""";"=""TUR""";"=""40""";"=""39.79""";"=""40""";"=""43""";"=""45""";"=""45""";"=""55""";"=""60""";"=""62""";"=""62""";"=""107""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""3""";"=""W""";"=""1""";"=""1""";"=""1""";"=""NGUYEN Thi Thu Trang""";"=""03.06.2003""";"=""VIE""";"=""45""";"=""44.84""";"=""60""";"=""66""";"=""* 73""";"=""66""";"=""73""";"=""75""";"=""---""";"=""75""";"=""141""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""4""";"=""W""";"=""2""";"=""4""";"=""2""";"=""SALDARRIAGA YOVERA  Anali Paola""";"=""21.10.2003""";"=""PER""";"=""45""";"=""44.75""";"=""53""";"=""56""";"=""* 58""";"=""56""";"=""68""";"=""71""";"=""74""";"=""74""";"=""130""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""5""";"=""W""";"=""3""";"=""2""";"=""4""";"=""ZENG Yi Fan""";"=""27.07.2002""";"=""TPE""";"=""45""";"=""44.78""";"=""55""";"=""57""";"=""58""";"=""58""";"=""67""";"=""70""";"=""* 73""";"=""70""";"=""128""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""6""";"=""W""";"=""4""";"=""3""";"=""5""";"=""PINOARGOTE QUINTERO Maria Belen""";"=""12.12.2003""";"=""ECU""";"=""45""";"=""44.51""";"=""53""";"=""56""";"=""57""";"=""57""";"=""66""";"=""69""";"=""* 71""";"=""69""";"=""126""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""7""";"=""W""";"=""---""";"=""---""";"=""3""";"=""KORUBEYI Bahar""";"=""27.04.2004""";"=""TUR""";"=""45""";"=""44.46""";"=""* 55""";"=""* 55""";"=""* 55""";"=""---""";"=""65""";"=""70""";"=""73""";"=""73""";"=""0""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""8""";"=""M""";"=""1""";"=""1""";"=""1""";"=""DO Tu Tung""";"=""10.01.2004""";"=""VIE""";"=""49""";"=""48.81""";"=""85""";"=""95""";"=""---""";"=""95""";"=""117""";"=""125""";"=""---""";"=""125""";"=""220""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
"=""9""";"=""W""";"=""1""";"=""1""";"=""1""";"=""ABDULLAEVA Nigora""";"=""13.05.2004""";"=""UZB""";"=""49""";"=""48.81""";"=""69""";"=""72""";"=""75""";"=""75""";"=""83""";"=""87""";"=""90""";"=""90""";"=""165""";"=""2019 IWF Youth World Championships""";"=""03.2019""";
